"A Industrial classfication","TIME Period",T10 Value of shipments_total (14STD05053 In Million Won),T101 Value of products shipped (14STD05053 In Million Won),T102 Sales of by-product and waste (14STD05053 In Million Won),T103 Toll processing income (14STD05053 In Million Won),T104 Income from repair (14STD05053 In Million Won),T20 Gross output (14STD05053 In Million Won),T30 Value added (14STD05053 In Million Won),T40 Major production cost_total (14STD05053 In Million Won),T401 Expense from raw materials (14STD05053 In Million Won),T402 Fuel expense (14STD05053 In Million Won),T403 Electricity cost (14STD05053 In Million Won),T404 Water expense (14STD05053 In Million Won),T405 Outsourced processing fee (14STD05053 In Million Won),T406 Mending fee (14STD05053 In Million Won),T50 Business expenses (14STD05053 In Million Won)
"3031 Manufacture of parts and accessories for motor engines(new products)","5Y2020 2020",14811676,14356453,47687,407108,428,14926694,4982373,9944321,8233821,80179,268337,11536,1233501,116947,682311
"30310 Manufacture of parts and accessories for motor engines(new products)","5Y2020 2020",14811676,14356453,47687,407108,428,14926694,4982373,9944321,8233821,80179,268337,11536,1233501,116947,682311
"3032 Manufacture of parts and accessories for motor vehicle body(new products)","5Y2020 2020",22546725,21759561,156785,626362,4017,22581632,6656140,15925492,14365595,26711,213903,10994,1230761,77528,525927
"30320 Manufacture of parts and accessories for motor vehicle body(new products)","5Y2020 2020",22546725,21759561,156785,626362,4017,22581632,6656140,15925492,14365595,26711,213903,10994,1230761,77528,525927
"3033 Manufacture of power transmission devices and electrical and electronic equipment for motor vehicles(new products)","5Y2020 2020",33404629,32447729,44576,906926,5398,33322433,9553372,23769061,21043334,30863,321989,11780,2210675,150420,692701
"30331 Manufacture of power transmission devices for motor vehicles(new products)","5Y2020 2020",18810997,18239038,39973,530524,1462,18725393,5802138,12923255,11225938,24969,260478,7181,1296058,108631,251087
"30332 Manufacture of electronic equipment for motor vehicles(new products)","5Y2020 2020",14593632,14208691,4603,376402,3936,14597040,3751234,10845806,9817396,5894,61511,4599,914617,41789,441614
"3039 Manufacture of other parts and accessories for motor vehicles(new products)","5Y2020 2020",30138779,28857057,150164,1123231,8327,30199611,9010662,21188949,18873326,65828,361000,22170,1730044,136581,1432420
"30391 Manufacture of steering and suspension devices for motor vehicles(new products)","5Y2020 2020",7098967,6834519,12107,251791,550,7121711,2262817,4858894,4305848,7947,93712,5255,411015,35117,320437
"30392 Manufacture of damping devices for motor vehicles(new products)","5Y2020 2020",4688832,4564214,22811,100237,1570,4672766,1292608,3380158,2972597,5523,76609,3305,293330,28794,327617
"30393 Manufacture of seats for motor vehicles(new products)","5Y2020 2020",6931909,6779287,2803,149055,764,6988447,1576383,5412064,5016023,6861,29829,2088,339680,17583,71884
"30399 Manufacture of other new parts and accessories for motor vehicles n.e.c.","5Y2020 2020",11419071,10679037,112443,622148,5443,11416687,3878854,7537833,6578858,45497,160850,11522,686019,55087,712482
"304 Manufacture of parts and accessories for motor vehicles(remanufacturing products)","5Y2020 2020",300937,283222,299,15966,1450,301075,122403,178672,156746,175,3790,75,16748,1138,4598
"3040 Manufacture of parts and accessories for motor vehicles(remanufacturing products)","5Y2020 2020",300937,283222,299,15966,1450,301075,122403,178672,156746,175,3790,75,16748,1138,4598
"30400 Manufacture of parts and accessories for motor vehicles(remanufacturing products)","5Y2020 2020",300937,283222,299,15966,1450,301075,122403,178672,156746,175,3790,75,16748,1138,4598
"31 Manufacture of other transport equipment","5Y2020 2020",46520323,42773728,96471,3363790,286334,46421312,14598454,31822858,22987683,108163,344111,20094,8002583,360224,677270
"311 Building of ships and boats","5Y2020 2020",36049788,32782662,92431,3136972,37723,35842544,10313390,25529154,17921779,96733,277202,16283,6951495,265662,625616
"3111 Building of ships and floating structures","5Y2020 2020",36036356,32769230,92431,3136972,37723,35829282,10306199,25523083,17916345,96727,277119,16282,6950961,265649,625616
"31111 Building of steel ships","5Y2020 2020",28833415,28730425,66966,11997,24027,28685512,6661366,22024146,16346597,82806,202254,11251,5147880,233358,530614
"31112 Building of synthetic resin ships","5Y2020 2020",143493,143071,0,0,422,140898,58880,82018,71550,160,748,19,8969,572,161
"31113 Building of non-ferrous metal ships and other ships","5Y2020 2020",1083369,1060681,414,12263,10011,1068546,531404,537142,460000,623,9404,841,62217,4057,47208
"31114 Manufacture of sections for ships","5Y2020 2020",5976079,2835053,25051,3112712,3263,5934326,3054549,2879777,1038198,13138,64713,4171,1731895,27662,47633
"3112 Building of pleasure and sporting boats","5Y2020 2020",13432,13432,0,0,0,13262,7191,6071,5434,6,83,1,534,13,0
"31120 Building of pleasure and sporting boats","5Y2020 2020",13432,13432,0,0,0,13262,7191,6071,5434,6,83,1,534,13,0
"312 Manufacture of railway locomotives and rolling stock","5Y2020 2020",3498888,3215849,141,37813,245085,3504504,1211311,2293193,1991431,5544,12634,894,269367,13323,1133
"3120 Manufacture of railway locomotives and rolling stock","5Y2020 2020",3498888,3215849,141,37813,245085,3504504,1211311,2293193,1991431,5544,12634,894,269367,13323,1133
"31201 Manufacture of rail locomotives and rolling stock","5Y2020 2020",2327928,2084178,0,0,243750,2324213,716754,1607459,1473404,4643,5547,550,119081,4234,0
"31202 Manufacture of specialized parts of railway or tramway locomotives or of rolling stock","5Y2020 2020",1170960,1131671,141,37813,1335,1180291,494557,685734,518027,901,7087,344,150286,9089,1133
"313 Manufacture of aircraft, spacecraft and its parts","5Y2020 2020",5344893,5185922,3765,152199,3007,5469630,2588644,2880986,2115304,5150,45783,2467,634751,77531,31023
"3131 Manufacture of aircraft, spacecraft and its assistant equipment","5Y2020 2020",2845872,2844594,200,0,1078,2692945,1200523,1492422,1141041,2095,11670,460,287954,49202,9331
"31311 Manufacture of manned aircraft, spacecraft and its assistant equipment","5Y2020 2020",2795629,2795059,0,0,570,2644818,1180702,1464116,1114556,2060,11513,458,286384,49145,9150
"31312 Manufacture of unmanned aircraft and its assistant equipment","5Y2020 2020",50243,49535,200,0,508,48127,19821,28306,26485,35,157,2,1570,57,181
"3132 Manufacture of engines and parts for aircraft","5Y2020 2020",2499021,2341328,3565,152199,1929,2776685,1388121,1388564,974263,3055,34113,2007,346797,28329,21692
"31321 Manufacture of engines for aircraft","5Y2020 2020",155320,154284,0,1036,0,162308,82037,80271,56541,0,992,39,21527,1172,0
"31322 Manufacture of aircraft parts and accessories","5Y2020 2020",2343701,2187044,3565,151163,1929,2614377,1306084,1308293,917722,3055,33121,1968,325270,27157,21692
"319 Manufacture of other transport equipment","5Y2020 2020",1626754,1589295,134,36806,519,1604634,485109,1119525,959169,736,8492,450,146970,3708,19498
"3191 Manufacture of military fighting vehicles","5Y2020 2020",1397068,1362776,128,34164,0,1369288,398885,970403,826999,570,6604,402,132633,3195,56
"31910 Manufacture of military fighting vehicles","5Y2020 2020",1397068,1362776,128,34164,0,1369288,398885,970403,826999,570,6604,402,132633,3195,56
"3192 Manufacture of motorcycles","5Y2020 2020",84277,82104,0,1713,460,87660,28036,59624,54067,36,1097,29,4215,180,12656
"31920 Manufacture of motorcycles","5Y2020 2020",84277,82104,0,1713,460,87660,28036,59624,54067,36,1097,29,4215,180,12656
"3199 Manufacture of other transport equipment n.e.c.","5Y2020 2020",145409,144415,6,929,59,147686,58188,89498,78103,130,791,19,10122,333,6786
"31991 Manufacture of bicycles and invalid carriages","5Y2020 2020",80547,80488,0,0,59,82297,30949,51348,47250,65,271,7,3557,198,4241
"31999 Manufacture of other transport equipment n.e.c.","5Y2020 2020",64862,63927,6,929,0,65389,27239,38150,30853,65,520,12,6565,135,2545
"32 Manufacture of furniture","5Y2020 2020",8407222,8303531,1128,99611,2952,8424267,3724200,4700067,3961101,5914,58137,2855,653037,19023,402479
"320 Manufacture of furniture","5Y2020 2020",8407222,8303531,1128,99611,2952,8424267,3724200,4700067,3961101,5914,58137,2855,653037,19023,402479
"3201 Manufacture of beds and upholstered furniture","5Y2020 2020",1130897,1118048,54,12795,0,1129764,504164,625600,552148,336,4476,453,66604,1583,68101
"32011 Manufacture of mattresses and beds","5Y2020 2020",701832,688983,54,12795,0,698935,336688,362247,310732,222,3249,390,46536,1118,49606
"32019 Manufacture of sofas and other upholstered furniture","5Y2020 2020",429065,429065,0,0,0,430829,167476,263353,241416,114,1227,63,20068,465,18495
"3202 Manufacture of wood furniture","5Y2020 2020",4994507,4932589,0,60707,1211,4995623,2250940,2744683,2295279,2690,35625,1768,397170,12151,297162
"32021 Manufacture of wood furniture for kitchen and restaurant","5Y2020 2020",1070771,1049210,0,20365,1196,1069562,379022,690540,598899,410,9672,130,77412,4017,16714
"32029 Manufacture of other wood furniture","5Y2020 2020",3923736,3883379,0,40342,15,3926061,1871918,2054143,1696380,2280,25953,1638,319758,8134,280448
"3209 Manufacture of other furniture","5Y2020 2020",2281818,2252894,1074,26109,1741,2298880,969096,1329784,1113674,2888,18036,634,189263,5289,37216
"32091 Manufacture of metal furniture","5Y2020 2020",1797646,1771603,832,23470,1741,1802707,739328,1063379,887888,2663,11884,582,156421,3941,32559
"32099 Manufacture of other furniture n.e.c.","5Y2020 2020",484172,481291,242,2639,0,496173,229768,266405,225786,225,6152,52,32842,1348,4657
"33 Other manufacturing","5Y2020 2020",5474869,5367014,7432,94406,6017,5468478,2419773,3048705,2580143,4152,43165,3520,403245,14480,1556855
"331 Manufacture of jewellery, bijouterie and related articles","5Y2020 2020",1190270,1171770,0,18127,373,1179697,335048,844649,726151,405,2138,812,113364,1779,1295195
"3311 Manufacture of jewellery and related articles","5Y2020 2020",1040779,1022612,0,17794,373,1031887,279735,752152,697546,336,1403,71,51564,1232,1270862
"33110 Manufacture of jewellery and related articles","5Y2020 2020",1040779,1022612,0,17794,373,1031887,279735,752152,697546,336,1403,71,51564,1232,1270862
"3312 Manufacture of imitation jewellery and costume jewellery","5Y2020 2020",149491,149158,0,333,0,147810,55313,92497,28605,69,735,741,61800,547,24333
"33120 Manufacture of imitation jewellery and costume jewellery","5Y2020 2020",149491,149158,0,333,0,147810,55313,92497,28605,69,735,741,61800,547,24333
"332 Manufacture of musical instruments","5Y2020 2020",157667,152606,16,4914,131,157954,81435,76519,63470,106,1270,16,11359,298,714
"3320 Manufacture of musical instruments","5Y2020 2020",157667,152606,16,4914,131,157954,81435,76519,63470,106,1270,16,11359,298,714
"33201 Manufacture of keyboard instruments","5Y2020 2020",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"33202 Manufacture of electronic instruments","5Y2020 2020",86371,83585,0,2786,0,86800,42385,44415,40997,51,537,14,2701,115,511
"33209 Manufacture of other musical instruments","5Y2020 2020",71296,69021,16,2128,131,71154,39050,32104,22473,55,733,2,8658,183,203
"333 Manufacture of sports and athletic goods","5Y2020 2020",961588,955825,27,4378,1358,964953,472771,492182,410547,1005,7701,467,70348,2114,56522
"3330 Manufacture of sports and athletic goods","5Y2020 2020",961588,955825,27,4378,1358,964953,472771,492182,410547,1005,7701,467,70348,2114,56522
"33301 Manufacture of athletics, gymnastics, fitness equipment","5Y2020 2020",247384,245534,0,637,1213,248193,122286,125907,106881,409,1393,130,16634,460,20614
"33302 Manufacture of playground equipment","5Y2020 2020",217787,215215,0,2491,81,218521,106327,112194,97700,300,1100,41,12733,320,4956
"33303 Manufacture of fishing and hunting equipment","5Y2020 2020",287715,286460,5,1250,0,285286,133113,152173,124315,155,2440,60,24458,745,19639
"33309 Manufacture of other sports and athletic goods","5Y2020 2020",208702,208616,22,0,64,212953,111045,101908,81651,141,2768,236,16523,589,11313
"334 Manufacture of dolls, toys and amusement goods","5Y2020 2020",414651,412290,0,2051,310,415099,202208,212891,184299,224,2346,256,24948,818,34035
"3340 Manufacture of dolls, toys and amusement goods","5Y2020 2020",414651,412290,0,2051,310,415099,202208,212891,184299,224,2346,256,24948,818,34035
"33401 Manufacture of dolls and toys","5Y2020 2020",370920,369812,0,798,310,370010,178172,191838,166266,208,1997,215,22497,655,31974
"33402 Manufacture of video game machines","5Y2020 2020",19384,19384,0,0,0,20263,10377,9886,8965,0,45,33,778,65,1166
"33409 Manufacture of other amusement goods","5Y2020 2020",24347,23094,0,1253,0,24826,13659,11167,9068,16,304,8,1673,98,895
"339 Other manufacturing n.e.c.","5Y2020 2020",2750693,2674523,7389,64936,3845,2750775,1328311,1422464,1195676,2412,29710,1969,183226,9471,170389
"3391 Manufacture of signs and advertisements","5Y2020 2020",595644,573236,0,18622,3786,595961,310587,285374,220385,414,2998,530,60028,1019,23029
"33910 Manufacture of signs and advertisements","5Y2020 2020",595644,573236,0,18622,3786,595961,310587,285374,220385,414,2998,530,60028,1019,23029
"3392 Manufacture of stationery and artists' goods","5Y2020 2020",301800,300000,0,1800,0,300358,150700,149658,124927,318,3229,324,19728,1132,52315
"33920 Manufacture of stationery and artists' goods","5Y2020 2020",301800,300000,0,1800,0,300358,150700,149658,124927,318,3229,324,19728,1132,52315
"3393 Manufacture of wigs, ornaments and mockups","5Y2020 2020",471071,456320,0,14692,59,471669,271744,199925,142506,546,7790,343,47560,1180,32868
"33931 Manufacture of wigs and similar articles","5Y2020 2020",136603,130158,0,6445,0,137101,77690,59411,52365,377,4147,283,2039,200,14889
"33932 Manufacture of exhibiting models","5Y2020 2020",284558,276252,0,8247,59,285052,170202,114850,67352,162,2428,59,44064,785,17380
"33933 Mounting pictures and other arts","5Y2020 2020",49910,49910,0,0,0,49516,23852,25664,22789,7,1215,1,1457,195,599
"3399 Other manufacturing n.e.c.","5Y2020 2020",1382178,1344967,7389,29822,0,1382787,595280,787507,707858,1134,15693,772,55910,6140,62177
"33991 Manufacture of buttons and snaps, slides and similar fasteners","5Y2020 2020",221348,213155,76,8117,0,222924,117652,105272,89527,612,2557,214,10518,1844,15709
"33992 Manufacture of lighters, combustible materials and smoking supplies","5Y2020 2020",464804,452996,6601,5207,0,464502,158192,306310,294183,111,6537,265,2740,2474,3151
"33993 Manufacture of brushes and brooms","5Y2020 2020",413799,407556,712,5531,0,417502,194650,222852,194713,297,4490,130,22021,1201,16545
"33999 Other manufacturing n.e.c.","5Y2020 2020",282227,271260,0,10967,0,277859,124786,153073,129435,114,2109,163,20631,621,26772
"34 Maintenance and repair services of industrial machinery and equipment","5Y2020 2020",4113201,4111323,68,1810,0,4110040,2889214,1220826,715174,2139,6146,2242,479958,15167,172064
"340 Maintenance and repair services of industrial machinery and equipment","5Y2020 2020",4113201,4111323,68,1810,0,4110040,2889214,1220826,715174,2139,6146,2242,479958,15167,172064
"3401 Maintenance and repair services of general machinery and equipment","5Y2020 2020",2512450,2510572,68,1810,0,2510819,1740713,770106,396260,1907,4085,1160,356882,9812,131735
"34011 Maintenance and repair services of machinery and equipment for mining and construction","5Y2020 2020",213039,212973,66,0,0,215273,147889,67384,49271,188,316,78,16696,835,15227
"34019 Maintenance and repair services of other general machinery","5Y2020 2020",2299411,2297599,2,1810,0,2295546,1592824,702722,346989,1719,3769,1082,340186,8977,116508
"3402 Maintenance and repair services of electrical, electronic and precision equipment","5Y2020 2020",1600751,1600751,0,0,0,1599221,1148501,450720,318914,232,2061,1082,123076,5355,40329
"34020 Maintenance and repair services of electrical, electronic and precision equipment","5Y2020 2020",1600751,1600751,0,0,0,1599221,1148501,450720,318914,232,2061,1082,123076,5355,40329
